log_id,lat,lon,country_cc,has_ts_anno
007674,50.931347462545546,6.91432021408007,DE,1
009158,50.94239271622754,6.935450535161449,DE,1
018591,45.46813975171737,9.155520770938248,IT,0
023996,52.20103405277463,21.011055081167413,PL,1
029229,52.23118145350623,20.999487104915772,PL,1
044953,59.85269900661571,17.633540191138035,SE,0
062592,67.14629019256799,20.643512793594518,SE,1
065838,50.122979389980756,8.741138502571246,DE,1
070221,50.12520289980792,8.746577548992445,DE,1
082291,52.23096684408628,21.070737234501205,PL,1
083430,50.03677024504172,19.94012332741466,PL,1
087912,51.46726006684033,7.0051918672287306,DE,1
